---------- m8_r8_t32_h2 @ v10_e26_t25 : -p 0 ----------
timestamp [epoch], gpu_utilization [%], memory_utilization [%], memory_used [MiB], pcie_tx_throughput [MiB/s], pcie_rx_throughput [MiB/s]
1706811052.4106691, 0, 0, 464.62, 0.00, 0.00
1706811052.6342452, 0, 0, 464.62, 0.00, 0.98
1706811052.7769878, 0, 0, 464.62, 0.00, 0.00
1706811052.9803324, 0, 0, 478.62, 1301.76, 448.24
1706811053.2033968, 11, 0, 536.62, 0.00, 0.00
1706811053.5651171, 0, 0, 536.62, 0.00, 0.00
1706811053.9300439, 0, 0, 522.62, 0.00, 0.00
1706811054.1828749, 3, 0, 522.62, 0.00, 74.22
1706811054.7221985, 3, 0, 508.62, 0.00, 8.79
---------- m8_r8_t32_h2 @ v10_e26_t25 : -p 5 ----------
timestamp [epoch], gpu_utilization [%], memory_utilization [%], memory_used [MiB], pcie_tx_throughput [MiB/s], pcie_rx_throughput [MiB/s]
1706811055.2302094, 5, 0, 4.00, 6.84, 2.93
1706811055.3901410, 5, 0, 434.62, 0.00, 0.00
1706811055.7554522, 0, 0, 434.62, 0.00, 0.00
1706811055.9406533, 0, 0, 434.62, 0.00, 0.00
1706811056.4685392, 0, 0, 434.62, 0.00, 0.00
1706811056.7126958, 0, 0, 434.62, 0.00, 0.00
1706811057.2601559, 0, 0, 434.62, 0.00, 0.00
1706811057.4635005, 0, 0, 434.62, 0.00, 0.00
1706811057.6871457, 0, 0, 434.62, 0.00, 976.56
1706811057.9391794, 0, 0, 448.62, 0.00, 0.00
1706811058.1243660, 5, 0, 448.62, 0.00, 0.00
1706811058.4690931, 0, 0, 448.62, 0.00, 0.00
1706811058.6727259, 0, 0, 448.62, 0.00, 0.00
1706811059.0175490, 0, 0, 448.62, 0.00, 0.00
1706811059.3823800, 0, 0, 448.62, 0.00, 0.00
1706811059.6820803, 6, 0, 464.62, 0.00, 0.00
1706811060.2285278, 0, 0, 464.62, 0.00, 0.00
1706811060.4520242, 0, 0, 464.62, 0.00, 0.98
1706811060.7159896, 0, 0, 464.62, 0.00, 0.00
1706811060.9394791, 0, 0, 464.62, 0.00, 0.00
1706811061.1629996, 0, 0, 464.62, 0.00, 0.00
1706811061.4490802, 0, 0, 536.62, 0.00, 0.00
1706811062.2122252, 0, 0, 536.62, 0.00, 64.45
1706811062.6185372, 3, 0, 522.62, 3.91, 0.00
1706811062.8655243, 0, 0, 522.62, 0.00, 0.00
1706811063.0489728, 0, 0, 522.62, 0.00, 0.00
1706811063.2324047, 0, 0, 522.62, 0.00, 0.00
1706811063.4569118, 0, 0, 522.62, 0.00, 61.52
1706811063.6424346, 3, 0, 508.62, 0.00, 0.00
1706811063.9631121, 0, 0, 508.62, 0.00, 0.00
1706811064.4701416, 0, 0, 508.62, 0.00, 0.00
